SrNo,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
104012,Area-3,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Vivek Vihar,\N
104178,Area-3,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
104201,DGD Dayalpur,,Dhanpat Mkt,,"Main Karawal Nagar, dayalpur,",110032,22964058,28.688,77.2932,0,Dispensaries,Delhi,North-East,Karawal Nagar,\N
104248,Area-2 (070606902),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
104270,Area- C,,,,,,,0,0,0,SubCentre,Delhi,North,Narela,\N
104335,Area-2 (070608201),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
104419,Area-3,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
104467,Area-1 (070608202),,,,,,,0,0,0,SubCentre,Delhi,Central,Kotwali,\N
104509,Area-C,,,,,,,0,0,0,SubCentre,Delhi,Shahdara,Vivek Vihar,\N
104663,Area-3,,,,,,,0,0,0,SubCentre,Delhi,North West,Rohini,\N
104881,Area-2,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
104952,Area-3,,,,,,,0,0,0,SubCentre,Delhi,North West,Rohini,\N
105048,Area-6,,,,,,,0,0,0,SubCentre,Delhi,New Delhi,Delhi Cantonment,\N
105051,Area-2 (070607702),,,,,,,0,0,0,SubCentre,Delhi,Central,Civil Lines,\N
105109,Area-2,,,,,,,0,0,0,SubCentre,Delhi,East,Mayur Vihar,\N
105171,Area-3,,,,,,,0,0,0,SubCentre,Delhi,North West,Rohini,\N
105173,Area-4,,,,,,,0,0,0,SubCentre,Delhi,West,Punjabi Bagh,\N
105189,Area-3,,,,,,,0,0,0,SubCentre,Delhi,North West,Rohini,\N
105469,Area-3,,,,,,,0,0,0,SubCentre,Delhi,South,Saket,\N
105480,Area-11,,,,,,,0,0,0,SubCentre,Delhi,North West,Saraswati Vihar,\N
